scenario,Biolimit,Prot,LCT,FCT,LandSupply,year,sector,ref,target,GtCO2,Mha
Bio100_ProtLow_LCT0_FCT164p533_B1,LimitedBio100EJ,ProtLow,No-LCP,165,Low-Bioenergy,2100,Land-based (CCS) BECCS,Mitigation,2C,-1.3356846504738968,114.84498635161368
Bio100_ProtLow_LCT10_FCT137p599_B1,LimitedBio100EJ,ProtLow,10%-LCP,138,Low-Bioenergy,2100,Land-based (CCS) BECCS,Mitigation,2C,-1.1037956557710673,97.50284998292067
Bio100_ProtLow_LCT100_FCT109p792_B1,LimitedBio100EJ,ProtLow,100%-LCP,110,Low-Bioenergy,2100,Land-based (CCS) BECCS,Mitigation,2C,-0.8088907830372217,73.91322279217019
Bio100_ProtLow_LCT50_FCT116p658_B1,LimitedBio100EJ,ProtLow,50%-LCP,117,Low-Bioenergy,2100,Land-based (CCS) BECCS,Mitigation,2C,-0.8772279784749758,79.77779256339922
BioUn_ProtLow_LCT0_FCT104p91_G1,UnlimitedBio,ProtLow,No-LCP,105,2C Main,2100,Land-based (CCS) BECCS,Mitigation,2C,-4.405048853935681,382.58696105077865
BioUn_ProtLow_LCT0_FCT200p104_G1,UnlimitedBio,ProtLow,No-LCP,200,1.5C,2100,Land-based (CCS) BECCS,Mitigation,1p5C,-6.055068560901548,471.30031849794585
BioUn_ProtLow_LCT10_FCT182p483_G1,UnlimitedBio,ProtLow,10%-LCP,182,1.5C,2100,Land-based (CCS) BECCS,Mitigation,1p5C,-5.546837885361502,429.02862143635366
BioUn_ProtLow_LCT10_FCT97p019_G1F,UnlimitedBio,ProtLow,10%-LCP,97,A/R-Focused,2100,Land-based (CCS) BECCS,Mitigation,2C,-4.0036456830152884,348.3565508342365
BioUn_ProtLow_LCT10_FCT98p488_G1,UnlimitedBio,ProtLow,10%-LCP,98,2C Main,2100,Land-based (CCS) BECCS,Mitigation,2C,-3.960559434022196,341.842125493073
BioUn_ProtLow_LCT100_FCT160p365_G1,UnlimitedBio,ProtLow,100%-LCP,160,1.5C,2100,Land-based (CCS) BECCS,Mitigation,1p5C,-3.9138890544995264,300.88982422333214
BioUn_ProtLow_LCT100_FCT79p512_G1F,UnlimitedBio,ProtLow,100%-LCP,80,A/R-Focused,2100,Land-based (CCS) BECCS,Mitigation,2C,-2.782569810259343,247.86100874769957
BioUn_ProtLow_LCT100_FCT87p968_G1,UnlimitedBio,ProtLow,100%-LCP,88,2C Main,2100,Land-based (CCS) BECCS,Mitigation,2C,-2.6245073737140983,224.02392289787318
BioUn_ProtLow_LCT50_FCT163p942_G1,UnlimitedBio,ProtLow,50%-LCP,164,1.5C,2100,Land-based (CCS) BECCS,Mitigation,1p5C,-4.53879811661629,349.5099900214869
BioUn_ProtLow_LCT50_FCT85p111_G1F,UnlimitedBio,ProtLow,50%-LCP,85,A/R-Focused,2100,Land-based (CCS) BECCS,Mitigation,2C,-3.2478709757243664,285.66576826515444
BioUn_ProtLow_LCT50_FCT90p512_G1,UnlimitedBio,ProtLow,50%-LCP,91,2C Main,2100,Land-based (CCS) BECCS,Mitigation,2C,-3.1330347030939723,268.2608609250819
Bio100_ProtLow_LCT0_FCT164p533_B1,LimitedBio100EJ,ProtLow,No-LCP,165,Low-Bioenergy,2100,Land-based (NonCCS) BECCS,Mitigation,2C,0,32.595667958191385
Bio100_ProtLow_LCT10_FCT137p599_B1,LimitedBio100EJ,ProtLow,10%-LCP,138,Low-Bioenergy,2100,Land-based (NonCCS) BECCS,Mitigation,2C,0,36.354451764907154
Bio100_ProtLow_LCT100_FCT109p792_B1,LimitedBio100EJ,ProtLow,100%-LCP,110,Low-Bioenergy,2100,Land-based (NonCCS) BECCS,Mitigation,2C,0,35.98713627937039
Bio100_ProtLow_LCT50_FCT116p658_B1,LimitedBio100EJ,ProtLow,50%-LCP,117,Low-Bioenergy,2100,Land-based (NonCCS) BECCS,Mitigation,2C,0,37.312516744196984
BioUn_ProtLow_LCT0_FCT104p91_G1,UnlimitedBio,ProtLow,No-LCP,105,2C Main,2100,Land-based (NonCCS) BECCS,Mitigation,2C,0,93.00251693120418
BioUn_ProtLow_LCT0_FCT200p104_G1,UnlimitedBio,ProtLow,No-LCP,200,1.5C,2100,Land-based (NonCCS) BECCS,Mitigation,1p5C,0,47.62534054800534
BioUn_ProtLow_LCT10_FCT182p483_G1,UnlimitedBio,ProtLow,10%-LCP,182,1.5C,2100,Land-based (NonCCS) BECCS,Mitigation,1p5C,0,49.88401981252514
BioUn_ProtLow_LCT10_FCT97p019_G1F,UnlimitedBio,ProtLow,10%-LCP,97,A/R-Focused,2100,Land-based (NonCCS) BECCS,Mitigation,2C,0,95.74398716520699
BioUn_ProtLow_LCT10_FCT98p488_G1,UnlimitedBio,ProtLow,10%-LCP,98,2C Main,2100,Land-based (NonCCS) BECCS,Mitigation,2C,0,92.56959292349711
BioUn_ProtLow_LCT100_FCT160p365_G1,UnlimitedBio,ProtLow,100%-LCP,160,1.5C,2100,Land-based (NonCCS) BECCS,Mitigation,1p5C,0,43.52651096007469
BioUn_ProtLow_LCT100_FCT79p512_G1F,UnlimitedBio,ProtLow,100%-LCP,80,A/R-Focused,2100,Land-based (NonCCS) BECCS,Mitigation,2C,0,96.41009676241836
BioUn_ProtLow_LCT100_FCT87p968_G1,UnlimitedBio,ProtLow,100%-LCP,88,2C Main,2100,Land-based (NonCCS) BECCS,Mitigation,2C,0,78.3550929523229
BioUn_ProtLow_LCT50_FCT163p942_G1,UnlimitedBio,ProtLow,50%-LCP,164,1.5C,2100,Land-based (NonCCS) BECCS,Mitigation,1p5C,0,48.06981249113824
BioUn_ProtLow_LCT50_FCT85p111_G1F,UnlimitedBio,ProtLow,50%-LCP,85,A/R-Focused,2100,Land-based (NonCCS) BECCS,Mitigation,2C,0,97.82147947379877
BioUn_ProtLow_LCT50_FCT90p512_G1,UnlimitedBio,ProtLow,50%-LCP,91,2C Main,2100,Land-based (NonCCS) BECCS,Mitigation,2C,0,86.18774806603591
Bio100_ProtLow_LCT0_FCT164p533_B1,LimitedBio100EJ,ProtLow,No-LCP,165,Low-Bioenergy,2100,NonLand-based BECCS,Mitigation,2C,-1.5402961034588258,0
Bio100_ProtLow_LCT10_FCT137p599_B1,LimitedBio100EJ,ProtLow,10%-LCP,138,Low-Bioenergy,2100,NonLand-based BECCS,Mitigation,2C,-1.5461613519847213,0
Bio100_ProtLow_LCT100_FCT109p792_B1,LimitedBio100EJ,ProtLow,100%-LCP,110,Low-Bioenergy,2100,NonLand-based BECCS,Mitigation,2C,-1.5463612865518783,0
Bio100_ProtLow_LCT50_FCT116p658_B1,LimitedBio100EJ,ProtLow,50%-LCP,117,Low-Bioenergy,2100,NonLand-based BECCS,Mitigation,2C,-1.5580519147814664,0
BioUn_ProtLow_LCT0_FCT104p91_G1,UnlimitedBio,ProtLow,No-LCP,105,2C Main,2100,NonLand-based BECCS,Mitigation,2C,-2.2408130795174506,0
BioUn_ProtLow_LCT0_FCT200p104_G1,UnlimitedBio,ProtLow,No-LCP,200,1.5C,2100,NonLand-based BECCS,Mitigation,1p5C,-3.2636867881336733,0
BioUn_ProtLow_LCT10_FCT182p483_G1,UnlimitedBio,ProtLow,10%-LCP,182,1.5C,2100,NonLand-based BECCS,Mitigation,1p5C,-3.130989465134874,0
BioUn_ProtLow_LCT10_FCT97p019_G1F,UnlimitedBio,ProtLow,10%-LCP,97,A/R-Focused,2100,NonLand-based BECCS,Mitigation,2C,-2.089839582788491,0
BioUn_ProtLow_LCT10_FCT98p488_G1,UnlimitedBio,ProtLow,10%-LCP,98,2C Main,2100,NonLand-based BECCS,Mitigation,2C,-2.1087291332382883,0
BioUn_ProtLow_LCT100_FCT160p365_G1,UnlimitedBio,ProtLow,100%-LCP,160,1.5C,2100,NonLand-based BECCS,Mitigation,1p5C,-2.785308295830139,0
BioUn_ProtLow_LCT100_FCT79p512_G1F,UnlimitedBio,ProtLow,100%-LCP,80,A/R-Focused,2100,NonLand-based BECCS,Mitigation,2C,-1.7053021771722394,0
BioUn_ProtLow_LCT100_FCT87p968_G1,UnlimitedBio,ProtLow,100%-LCP,88,2C Main,2100,NonLand-based BECCS,Mitigation,2C,-1.79549377020682,0
BioUn_ProtLow_LCT50_FCT163p942_G1,UnlimitedBio,ProtLow,50%-LCP,164,1.5C,2100,NonLand-based BECCS,Mitigation,1p5C,-2.9122095707371063,0
BioUn_ProtLow_LCT50_FCT85p111_G1F,UnlimitedBio,ProtLow,50%-LCP,85,A/R-Focused,2100,NonLand-based BECCS,Mitigation,2C,-1.8357133508186736,0
BioUn_ProtLow_LCT50_FCT90p512_G1,UnlimitedBio,ProtLow,50%-LCP,91,2C Main,2100,NonLand-based BECCS,Mitigation,2C,-1.8990611512914,0
Bio100_ProtLow_LCT0_FCT164p533_B1,LimitedBio100EJ,ProtLow,No-LCP,165,Low-Bioenergy,2100,LULUCF,Mitigation,2C,1.5825194919675198,-37.75449602115787
Bio100_ProtLow_LCT10_FCT137p599_B1,LimitedBio100EJ,ProtLow,10%-LCP,138,Low-Bioenergy,2100,LULUCF,Mitigation,2C,-0.23496388803675752,63.84435596262982
Bio100_ProtLow_LCT100_FCT109p792_B1,LimitedBio100EJ,ProtLow,100%-LCP,110,Low-Bioenergy,2100,LULUCF,Mitigation,2C,-2.874866382853876,256.4841826326973
Bio100_ProtLow_LCT50_FCT116p658_B1,LimitedBio100EJ,ProtLow,50%-LCP,117,Low-Bioenergy,2100,LULUCF,Mitigation,2C,-2.081602100580711,192.74622671296197
BioUn_ProtLow_LCT0_FCT104p91_G1,UnlimitedBio,ProtLow,No-LCP,105,2C Main,2100,LULUCF,Mitigation,2C,2.8099409040204053,-133.82417281496157
BioUn_ProtLow_LCT0_FCT200p104_G1,UnlimitedBio,ProtLow,No-LCP,200,1.5C,2100,LULUCF,Mitigation,1p5C,2.6458733309922033,-150.16350701238872
BioUn_ProtLow_LCT10_FCT182p483_G1,UnlimitedBio,ProtLow,10%-LCP,182,1.5C,2100,LULUCF,Mitigation,1p5C,1.3051560280267187,-50.914245243733234
BioUn_ProtLow_LCT10_FCT97p019_G1F,UnlimitedBio,ProtLow,10%-LCP,97,A/R-Focused,2100,LULUCF,Mitigation,2C,1.4165110699135453,35.579179149375506
BioUn_ProtLow_LCT10_FCT98p488_G1,UnlimitedBio,ProtLow,10%-LCP,98,2C Main,2100,LULUCF,Mitigation,2C,1.5071600029766599,-50.6689046837825
BioUn_ProtLow_LCT100_FCT160p365_G1,UnlimitedBio,ProtLow,100%-LCP,160,1.5C,2100,LULUCF,Mitigation,1p5C,-2.0301239051113575,207.18518548150777
BioUn_ProtLow_LCT100_FCT79p512_G1F,UnlimitedBio,ProtLow,100%-LCP,80,A/R-Focused,2100,LULUCF,Mitigation,2C,-2.709621037393138,648.2858203720107
BioUn_ProtLow_LCT100_FCT87p968_G1,UnlimitedBio,ProtLow,100%-LCP,88,2C Main,2100,LULUCF,Mitigation,2C,-1.8948553171245508,181.4190357033652
BioUn_ProtLow_LCT50_FCT163p942_G1,UnlimitedBio,ProtLow,50%-LCP,164,1.5C,2100,LULUCF,Mitigation,1p5C,-0.8871822720336108,118.48681004325083
BioUn_ProtLow_LCT50_FCT85p111_G1F,UnlimitedBio,ProtLow,50%-LCP,85,A/R-Focused,2100,LULUCF,Mitigation,2C,-1.1915573930998495,399.76798223419394
BioUn_ProtLow_LCT50_FCT90p512_G1,UnlimitedBio,ProtLow,50%-LCP,91,2C Main,2100,LULUCF,Mitigation,2C,-0.7179818999786894,97.9729054431977
